time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1,盘古大观_北辰西路_NS_6,盘古大观_北辰西路_SN_3
2020/1/1,31,27,28,28,23,24,36,38,47,46,33,37,41,34
2020/1/2,29,30,30,24,17,26,32,27,10,60,25,22,28,39
2020/1/3,28,26,46,23,16,20,40,20,14,57,28,23,23,27
2020/1/4,30,26,41,37,25,32,36,38,49,56,35,36,39,26
2020/1/5,33,26,30,24,26,23,37,39,59,52,38,43,45,34
2020/1/6,36,26,29,27,19,16,36,27,21,50,26,20,33,37
2020/1/7,27,30,31,27,20,17,36,33,14,60,26,17,15,36
2020/1/8,33,31,31,31,14,16,37,28,11,52,22,17,35,37
2020/1/9,32,30,28,32,24,15,37,34,8,52,26,19,26,40
2020/1/10,28,26,25,42,13,12,37,25,6,58,25,19,33,34
2020/1/11,24,24,37,31,23,24,35,25,23,53,32,29,33,40
2020/1/12,25,31,33,25,20,27,35,37,53,60,38,41,38,37
2020/1/13,31,29,28,33,14,16,39,16,11,58,33,22,25,31
2020/1/14,28,29,32,20,18,16,38,14,15,57,30,17,25,30
2020/1/15,28,27,28,22,16,13,36,16,8,58,31,23,33,38
2020/1/16,29,27,25,29,19,11,30,22,9,57,35,21,30,35
2020/1/17,33,30,32,26,20,19,35,20,11,57,38,22,29,33
2020/1/18,25,28,34,32,21,20,31,36,38,58,36,33,46,38
2020/1/19,21,26,29,27,16,17,34,16,6,62,28,19,28,38
2020/1/20,32,30,32,40,20,17,35,20,10,50,35,25,36,37
2020/1/21,26,26,34,33,24,17,38,20,8,54,41,30,33,36
2020/1/22,32,29,32,25,25,14,37,25,9,54,37,31,47,33
2020/1/23,28,29,30,32,20,23,37,31,46,53,40,43,42,36
2020/1/24,38,35,44,53,22,28,40,37,58,60,38,45,36,35
2020/1/25,30,35,35,28,21,34,38,38,55,56,41,51,61,58
2020/1/26,41,39,46,50,26,26,36,42,59,44,40,49,50,30
2020/1/27,54,17,30,38,25,22,28,40,61,69,38,54,39,19
2020/1/28,30,97,32,46,21,14,40,28,61,58,45,27,49,25
2020/1/29,45,20,47,21,24,33,36,34,64,61,50,46,46,24
2020/1/30,20,6,28,20,24,38,38,39,59,72,47,35,50,36
2020/1/31,19,25,36,44,23,27,44,43,59,51,47,43,35,37
2020/2/1,32,36,38,29,25,15,38,42,53,65,39,37,75,47
2020/2/2,49,27,39,46,31,21,53,54,50,59,39,35,26,39
2020/2/3,53,49,38,35,22,31,34,40,54,67,43,51,37,32
2020/2/4,34,36,37,16,33,36,33,37,49,49,45,40,43,30
2020/2/5,37,32,30,32,19,29,35,14,51,48,50,41,44,46
2020/2/6,25,16,32,19,26,23,33,21,29,46,27,27,33,28
2020/2/7,34,25,32,18,7,25,42,28,54,62,33,41,37,32
2020/2/8,40,29,46,22,34,38,38,38,58,47,32,36,46,27
2020/2/9,40,14,40,23,28,21,44,31,60,67,35,40,44,27
2020/2/10,23,29,34,26,25,30,29,41,30,61,36,33,39,36
2020/2/11,23,29,34,26,25,30,29,41,30,61,36,33,39,36
2020/2/12,29,28,38,30,17,25,35,44,52,51,39,45,45,36
2020/2/13,22,39,16,31,22,33,35,34,52,46,36,38,45,36
2020/2/14,32,40,30,17,24,26,34,36,14,49,42,46,36,28
2020/2/15,22,37,27,28,37,39,22,35,60,57,53,42,39,46
2020/2/16,18,47,29,53,27,31,37,33,51,67,38,34,45,41
2020/2/17,32,28,34,36,22,22,26,37,14,66,37,26,33,33
2020/2/18,33,29,31,34,28,19,44,38,19,52,41,41,51,45
2020/2/19,31,41,30,47,30,43,36,30,40,65,37,41,45,46
2020/2/20,25,37,36,25,25,16,39,30,32,51,35,47,41,53
2020/2/21,35,36,25,31,32,32,35,42,38,56,32,46,39,27
2020/2/22,42,37,43,26,17,24,34,33,55,66,38,48,57,42
2020/2/23,44,16,34,29,34,37,29,34,56,53,36,41,35,45
2020/2/24,44,16,34,29,34,37,29,34,56,53,36,41,35,45
2020/2/25,22,29,32,41,33,30,28,40,41,53,33,32,40,29
2020/2/26,36,46,35,33,31,26,34,36,46,59,33,40,37,38
2020/2/27,27,34,30,38,15,23,30,33,40,54,32,45,37,37
2020/2/28,36,31,36,26,28,23,31,37,25,64,31,38,40,43
2020/2/29,29,38,26,26,28,33,24,34,56,69,50,35,28,29
2020/3/1,40,18,40,27,29,24,33,32,53,59,44,44,39,45
2020/3/2,30,30,31,31,23,20,40,36,20,51,32,24,38,42
2020/3/3,23,32,45,22,29,29,47,38,39,46,26,30,31,24
2020/3/4,28,26,30,28,18,19,37,35,37,53,28,35,37,42
2020/3/5,32,26,38,18,23,36,36,45,42,54,33,30,30,39
2020/3/6,33,24,40,14,23,18,41,39,23,57,26,31,41,34
2020/3/7,23,30,44,29,22,30,49,48,58,63,29,38,45,15
2020/3/8,45,49,47,45,20,32,40,30,60,76,37,43,38,37
2020/3/9,31,33,31,20,18,9,42,32,26,55,29,22,28,31
2020/3/10,37,21,28,34,16,35,40,34,14,54,31,35,19,35
2020/3/11,33,34,32,33,28,18,32,45,10,54,33,26,35,41
2020/3/12,40,28,28,29,27,23,38,31,27,52,29,25,34,33
2020/3/13,28,33,28,34,31,17,40,24,22,55,25,26,40,27
2020/3/14,37,31,11,41,29,20,32,38,50,64,40,34,43,47
2020/3/15,37,30,35,44,23,41,36,40,60,76,40,36,41,35
2020/3/16,39,24,29,32,31,23,39,37,10,50,22,25,15,29
2020/3/17,32,38,31,28,16,21,37,38,25,43,30,25,24,31
2020/3/18,34,32,33,36,25,19,31,36,23,48,26,29,35,38
2020/3/19,45,36,35,29,22,12,41,36,25,45,30,27,29,35
2020/3/20,38,30,40,43,16,30,32,35,26,53,35,28,30,29
2020/3/21,35,28,11,31,18,37,25,32,48,63,58,31,49,29
2020/3/22,31,49,24,43,17,84,34,32,34,48,29,42,42,20
2020/3/23,43,19,29,20,11,29,56,24,9,37,33,23,16,29
2020/3/24,25,20,37,24,26,28,41,38,12,55,25,19,41,27
2020/3/25,29,26,38,21,25,21,39,26,23,50,26,22,37,34
2020/3/26,32,33,31,39,30,18,41,40,10,51,23,21,27,34
2020/3/27,26,27,27,25,15,16,34,30,12,50,25,22,29,39
2020/3/28,24,32,40,13,16,37,40,37,62,60,33,38,47,72
2020/3/29,29,29,31,72,38,32,40,35,60,41,39,45,27,28
2020/3/30,31,34,36,28,16,15,42,33,9,44,25,23,30,32
2020/3/31,27,32,25,28,23,18,39,34,14,40,26,21,22,35
2020/4/1,22,30,27,11,20,16,23,26,11,28,23,21,17,27
2020/4/2,26,27,33,30,18,19,30,29,12,45,29,22,39,31
2020/4/3,24,33,36,36,24,22,36,29,17,44,25,26,26,42
2020/4/4,35,29,51,56,29,25,39,29,50,64,32,34,49,47
2020/4/5,39,49,31,28,16,34,40,40,56,63,30,42,39,20
2020/4/6,21,45,21,38,17,25,36,37,54,58,40,45,36,39
2020/4/7,36,28,29,48,21,21,41,31,9,39,25,20,25,37
2020/4/8,27,29,25,28,20,22,44,34,10,57,21,21,28,38
2020/4/9,29,32,31,25,19,17,36,34,9,47,28,16,27,30
2020/4/10,36,24,48,33,19,18,28,25,10,54,26,22,21,35
2020/4/11,30,35,33,10,21,20,35,46,60,75,37,37,45,36
2020/4/12,32,31,45,25,27,22,27,42,52,59,36,48,29,34
2020/4/13,32,31,45,25,27,22,27,42,52,59,36,48,29,34
2020/4/14,31,25,30,32,22,17,39,38,11,50,19,20,21,41
2020/4/15,33,37,29,31,17,16,35,35,17,60,25,18,21,37
2020/4/16,32,29,38,28,20,15,36,29,9,60,22,20,28,42
2020/4/17,31,32,25,39,34,17,34,31,11,52,29,22,26,30
2020/4/18,44,37,24,21,24,20,33,34,53,51,28,40,49,40
2020/4/19,28,31,24,25,36,27,29,36,50,64,36,39,38,41
2020/4/20,32,27,38,36,15,18,31,31,6,57,26,18,20,36
2020/4/21,28,29,27,48,30,18,36,30,7,51,23,22,22,39
2020/4/22,28,24,26,33,24,15,35,40,7,53,24,20,15,36
2020/4/23,23,31,19,26,25,22,37,36,6,50,17,20,23,36
2020/4/24,23,31,24,20,17,16,35,37,10,53,23,25,24,34
2020/4/25,36,27,32,26,11,22,37,36,53,38,33,36,39,35
2020/4/26,27,34,31,32,21,20,35,35,10,64,26,25,37,35
2020/4/27,27,33,33,41,11,15,36,33,6,59,6,22,18,37
2020/4/28,33,28,29,47,17,19,37,36,6,52,14,22,18,38
2020/4/29,34,27,34,34,16,18,33,29,6,58,23,25,20,33
2020/4/30,38,30,32,27,18,15,35,28,8,43,20,26,20,30
2020/5/1,24,33,30,27,20,19,37,37,55,55,30,41,39,30
2020/5/2,33,38,35,36,22,28,36,41,52,59,39,41,43,35
2020/5/3,36,21,38,28,25,24,36,34,55,61,33,39,41,31
2020/5/4,32,30,23,58,26,14,34,24,49,54,34,40,39,32
2020/5/5,29,37,36,30,25,29,37,39,53,66,31,43,43,33
2020/5/6,26,25,33,38,15,20,30,17,7,55,14,17,21,34
2020/5/7,30,31,31,33,15,19,38,20,5,56,19,18,16,37
2020/5/8,32,28,31,36,25,14,33,20,5,60,16,15,16,34
2020/5/9,28,29,33,52,23,16,37,32,26,57,31,24,35,41
2020/5/10,28,29,33,52,23,16,37,32,26,57,31,24,35,41
2020/5/11,28,29,33,52,23,16,37,32,26,57,31,24,35,41
2020/5/12,29,26,30,43,21,18,38,22,5,54,21,18,20,30
2020/5/13,27,34,34,27,22,21,37,15,5,56,14,22,28,32
2020/5/14,32,31,31,40,20,14,34,35,7,44,17,24,27,26
2020/5/15,32,23,24,42,17,17,34,29,7,57,19,22,22,27
2020/5/16,49,26,30,22,17,27,33,34,57,59,33,39,41,43
2020/5/17,34,33,29,39,26,22,37,35,52,57,34,37,46,44
2020/5/18,27,28,40,37,21,18,38,16,5,55,28,19,25,35
2020/5/19,31,29,30,27,23,17,37,19,7,54,15,18,16,28
2020/5/20,28,31,28,29,18,19,39,21,6,53,22,19,23,38
2020/5/21,35,30,30,41,20,11,35,32,8,54,28,20,16,32
2020/5/22,25,30,29,31,18,12,34,26,7,58,14,19,23,44
2020/5/23,32,32,47,42,27,19,34,31,49,54,35,47,43,32
2020/5/24,34,40,30,39,26,26,37,37,55,59,36,47,44,57
2020/5/25,29,31,26,36,24,20,33,19,5,50,14,22,18,34
2020/5/26,28,27,34,34,17,14,35,27,21,56,22,22,29,38
2020/5/27,28,25,32,42,18,15,33,35,6,60,23,16,23,31
2020/5/28,31,30,27,29,16,18,32,31,8,52,29,23,25,37
2020/5/29,27,32,24,43,18,23,38,26,9,65,25,23,29,33
2020/5/30,39,22,47,60,20,28,34,28,54,55,35,34,33,41
2020/5/31,28,31,25,37,24,37,37,35,56,46,35,42,42,36
2020/6/1,30,31,33,27,21,14,39,26,9,51,28,17,30,30
2020/6/2,34,26,33,14,19,18,33,25,9,54,17,23,21,37
2020/6/3,29,32,32,33,22,18,37,31,5,60,23,17,36,36
2020/6/4,35,35,29,38,19,16,40,27,7,57,24,23,29,33
2020/6/5,34,33,30,45,17,17,43,31,10,55,21,24,35,37
2020/6/6,36,30,29,37,14,27,36,35,40,55,34,31,48,53
2020/6/7,31,27,29,30,26,26,36,37,57,52,38,42,40,45
2020/6/8,26,37,29,43,17,16,40,17,5,50,22,22,34,32
2020/6/9,29,45,30,24,18,14,37,22,9,56,29,25,20,34
2020/6/10,46,34,29,39,18,18,37,31,5,55,23,20,25,33
2020/6/11,21,29,25,31,17,16,34,18,6,53,22,19,21,40
2020/6/12,19,24,28,51,22,19,39,17,6,59,29,15,23,39
2020/6/13,29,19,33,35,15,31,37,39,55,59,33,38,37,34
2020/6/14,26,34,36,28,23,30,36,40,55,56,35,37,30,33
2020/6/15,45,30,26,30,18,17,30,28,17,56,20,18,36,33
2020/6/16,34,25,51,56,30,22,33,22,28,51,22,23,25,32
2020/6/17,29,25,34,39,25,20,38,31,53,51,31,20,32,28
2020/6/18,28,32,36,39,25,25,33,36,13,49,29,27,36,28
2020/6/19,30,30,30,21,24,21,40,37,48,52,35,26,30,35
2020/6/20,30,30,30,21,24,21,40,37,48,52,35,26,30,35
2020/6/21,30,30,30,21,24,21,40,37,48,52,35,26,30,35
2020/6/22,27,32,27,24,24,20,40,26,34,57,33,25,43,37
2020/6/23,33,30,31,25,24,22,31,36,16,52,30,24,43,39
2020/6/24,33,33,39,30,22,28,26,30,37,50,30,29,37,37
2020/6/25,30,30,32,7,20,30,18,42,58,55,31,39,48,43
2020/6/26,18,40,33,48,45,35,28,37,61,53,45,35,48,30
2020/6/27,18,40,33,48,45,35,28,37,61,53,45,35,48,30
2020/6/28,18,40,33,48,45,35,28,37,61,53,45,35,48,30
2020/6/29,18,40,33,48,45,35,28,37,61,53,45,35,48,30
2020/6/30,30,32,28,23,21,21,41,36,27,48,29,22,37,33
2020/7/1,30,26,27,35,20,16,39,35,36,60,26,27,33,40
2020/7/2,29,45,24,26,43,15,27,25,10,58,31,24,29,48
2020/7/3,41,29,39,24,23,17,39,24,16,45,24,26,29,36
2020/7/4,28,50,40,31,26,27,46,33,54,58,27,49,28,44
2020/7/5,28,50,40,31,26,27,46,33,54,58,27,49,28,44
2020/7/6,30,30,33,27,26,15,32,33,25,58,31,19,23,33
2020/7/7,27,29,32,19,24,21,34,30,12,55,32,23,34,36
2020/7/8,35,33,40,26,20,21,39,27,19,59,30,23,38,33
2020/7/9,33,31,25,30,20,14,40,25,10,57,15,21,30,33
2020/7/10,31,33,29,34,20,20,38,27,8,51,31,22,29,43
2020/7/11,27,25,40,35,21,20,44,37,56,50,34,38,53,33
2020/7/12,38,28,31,14,28,34,36,35,52,56,39,42,50,37
2020/7/13,31,31,30,37,23,25,37,22,10,57,26,16,34,31
2020/7/14,30,33,26,28,14,27,32,24,12,55,22,22,30,32
2020/7/15,33,30,36,31,19,15,43,33,7,54,31,24,26,35
2020/7/16,30,30,33,37,18,23,37,30,10,51,29,20,31,36
2020/7/17,26,28,36,35,20,12,39,36,8,50,22,19,37,37
2020/7/18,22,37,38,33,29,29,34,39,52,62,37,39,37,30
2020/7/19,29,36,35,32,32,23,39,29,56,47,34,40,52,25
2020/7/20,33,27,37,23,11,16,37,29,10,57,29,21,38,37
2020/7/21,34,21,33,38,17,21,38,23,6,59,25,24,25,30
2020/7/22,31,33,37,32,18,19,38,16,9,41,33,23,23,39
2020/7/23,31,36,36,20,17,15,35,21,11,54,26,22,31,36
2020/7/24,28,33,39,32,18,12,36,28,19,54,27,20,21,36
2020/7/25,26,45,41,30,18,19,34,24,54,72,37,33,42,36
2020/7/26,24,16,35,43,26,20,39,33,55,51,41,38,30,44
2020/7/27,28,33,34,35,9,14,35,13,8,47,14,18,20,33
2020/7/28,24,30,32,24,17,17,34,16,9,56,31,25,22,39
2020/7/29,32,27,39,35,15,16,39,16,10,47,32,24,25,32
2020/7/30,32,33,28,29,14,17,37,18,7,55,33,22,22,30
2020/7/31,27,30,34,45,12,16,35,19,7,56,30,23,22,41
2020/8/1,34,35,35,27,20,21,37,36,55,51,39,40,46,36
2020/8/2,26,30,35,31,26,26,37,36,57,60,36,39,30,42
2020/8/3,34,30,35,33,20,11,38,19,11,59,24,19,21,34
2020/8/4,27,24,41,58,15,13,37,28,10,57,36,24,19,38
2020/8/5,28,28,38,29,15,22,39,30,16,51,32,21,27,31
2020/8/6,46,31,38,19,17,14,37,31,12,60,34,23,17,39
2020/8/7,32,22,28,22,14,10,33,28,9,51,29,16,26,36
2020/8/8,53,36,33,37,16,23,41,38,52,52,35,35,32,37
2020/8/9,37,41,32,40,23,19,38,38,57,59,37,42,50,34
2020/8/10,29,30,34,38,22,17,37,16,6,29,35,22,27,31
2020/8/11,26,29,31,22,20,10,37,27,14,56,33,25,24,35
2020/8/12,32,29,38,32,15,22,38,21,6,50,29,28,40,40
2020/8/13,40,31,38,34,13,14,39,19,11,54,29,19,29,34
2020/8/14,40,31,38,34,13,14,39,19,11,54,29,19,29,34
2020/8/15,40,31,38,34,13,14,39,19,11,54,29,19,29,34
2020/8/16,28,28,44,37,25,29,39,34,57,54,40,38,50,35
2020/8/17,33,37,30,43,16,11,38,13,7,58,30,20,25,35
2020/8/18,31,33,28,17,18,17,35,18,10,59,20,24,23,39
2020/8/19,31,33,28,17,18,17,35,18,10,59,20,24,23,39
2020/8/20,31,33,28,17,18,17,35,18,10,59,20,24,23,39
2020/8/21,35,31,33,36,19,18,34,18,10,49,33,22,29,36
2020/8/22,27,28,32,35,16,22,32,36,51,54,33,33,51,39
2020/8/23,24,30,36,35,18,27,37,38,43,55,37,47,42,36
2020/8/24,32,29,40,25,15,17,36,32,10,56,26,18,22,39
2020/8/25,30,37,32,30,17,18,37,21,14,67,26,19,34,29
2020/8/26,30,37,32,30,17,18,37,21,14,67,26,19,34,29
2020/8/27,30,37,32,30,17,18,37,21,14,67,26,19,34,29
2020/8/28,27,31,30,19,16,15,39,34,12,54,28,24,23,36
2020/8/29,30,28,46,37,21,23,35,15,51,58,26,32,52,39
2020/8/30,30,28,46,37,21,23,35,15,51,58,26,32,52,39
2020/8/31,30,28,46,37,21,23,35,15,51,58,26,32,52,39
2020/9/1,30,30,37,32,20,12,35,25,6,61,22,18,30,40
2020/9/2,38,32,33,20,15,29,37,19,8,59,26,18,28,38
2020/9/3,29,32,37,30,21,15,35,27,9,55,24,23,34,37
2020/9/4,29,32,37,30,21,15,35,27,9,55,24,23,34,37
2020/9/5,29,32,37,30,21,15,35,27,9,55,24,23,34,37
2020/9/6,26,30,40,29,28,39,40,37,56,56,30,40,39,35
2020/9/7,36,37,36,35,11,7,37,32,7,60,35,16,40,43
2020/9/8,29,31,34,29,22,17,42,23,5,48,16,17,36,40
2020/9/9,29,31,34,29,22,17,42,23,5,48,16,17,36,40
2020/9/10,30,24,35,31,17,18,36,24,7,57,30,20,22,35
2020/9/11,25,28,41,40,17,14,33,20,8,58,26,19,21,38
2020/9/12,23,27,34,36,19,24,35,41,45,33,35,31,41,26
2020/9/13,23,27,34,36,19,24,35,41,45,33,35,31,41,26
2020/9/14,23,27,34,36,19,24,35,41,45,33,35,31,41,26
2020/9/15,28,28,32,32,20,12,35,27,8,64,20,17,16,31
2020/9/16,31,34,34,29,44,18,33,27,8,49,16,26,25,37
2020/9/17,41,47,58,16,48,39,40,19,9,66,14,27,7,19
2020/9/18,34,33,35,44,13,18,39,30,6,60,31,20,22,39
2020/9/19,19,26,28,36,24,33,31,13,40,50,34,30,40,35
2020/9/20,19,26,28,36,24,33,31,13,40,50,34,30,40,35
2020/9/21,19,26,28,36,24,33,31,13,40,50,34,30,40,35
2020/9/22,25,26,38,39,18,16,36,18,8,46,23,22,39,42
2020/9/23,24,25,26,15,16,12,35,17,7,41,19,21,14,36
2020/9/24,40,28,36,28,19,20,35,23,10,53,28,21,29,40
2020/9/25,31,33,36,27,15,20,37,22,8,53,24,24,28,30
2020/9/26,28,31,31,43,26,29,35,33,48,48,30,27,40,36
2020/9/27,41,32,36,49,22,14,32,25,6,58,17,24,24,31
2020/9/28,36,31,28,29,16,17,34,21,6,53,26,18,32,33
2020/9/29,27,26,34,29,9,15,29,24,9,53,16,20,20,39
2020/9/30,29,26,30,44,23,20,37,13,11,46,37,23,31,33
